created_at,full_text,cleaned_text,tokenized_text,stemmed_text,sentiment
Tue Sep 30 18:02:14 +0000 2025,Di rapat bersama DPR Menkeu Purbaya Yudhi Sadewa blak-blakan soal kinerja Pertamina! Katanya mereka males-malesan bangun kilang minyak yang penting buat produksi energi nasional! Ada apa nih sama Pertamina? #Pertamina #Menkeu #RDPDPR #BeritaHariIni #KilangMinyak https://t.co/py3TRJ0kCp,di rapat bersama dpr menkeu purbaya yudhi sadewa blakblakan soal kinerja pertamina katanya mereka malesmalesan bangun kilang minyak yang penting buat produksi energi nasional ada apa nih sama pertamina,"['rapat', 'bersama', 'dpr', 'menkeu', 'purbaya', 'yudhi', 'sadewa', 'blakblakan', 'soal', 'kinerja', 'pertamina', 'katanya', 'malesmalesan', 'bangun', 'kilang', 'minyak', 'penting', 'buat', 'produksi', 'energi', 'nasional', 'apa', 'nih', 'sama', 'pertamina']","['rapat', 'sama', 'dpr', 'menkeu', 'purbaya', 'yudhi', 'sadewa', 'blakblakan', 'soal', 'kerja', 'pertamina', 'kata', 'malesmalesan', 'bangun', 'kilang', 'minyak', 'penting', 'buat', 'produksi', 'energi', 'nasional', 'apa', 'nih', 'sama', 'pertamina']",positive
Tue Sep 30 17:10:41 +0000 2025,Belum lama ini bahas sama ayah. Pas alm om ujang masih jadi menko trs ribut perihal kilang minyak wkwkwk om ujang ga mau kalo kilang minyaknya dibikin di laut krn costnya lebih besar dan toh hrs bolak balik ke darat beliau berpendapat mending di darat aja tapi deket laut ,belum lama ini bahas sama ayah pas alm om ujang masih jadi menko trs ribut perihal kilang minyak wkwkwk om ujang ga mau kalo kilang minyaknya dibikin di laut krn costnya lebih besar dan toh hrs bolak balik ke darat beliau berpendapat mending di darat aja tapi deket laut,"['lama', 'bahas', 'sama', 'ayah', 'pas', 'alm', 'om', 'ujang', 'jadi', 'menko', 'terus', 'ribut', 'perihal', 'kilang', 'minyak', 'wkwkkwkw', 'om', 'ujang', 'mau', 'kalau', 'kilang', 'minyaknya', 'dibikin', 'laut', 'costnya', 'lebih', 'besar', 'bolak', 'balik', 'darat', 'beliau', 'berpendapat', 'mending', 'darat', 'deket', 'laut']","['lama', 'bahas', 'sama', 'ayah', 'pas', 'alm', 'om', 'ujang', 'jadi', 'menko', 'terus', 'ribut', 'perihal', 'kilang', 'minyak', 'wkwkkwkw', 'om', 'ujang', 'mau', 'kalau', 'kilang', 'minyak', 'bikin', 'laut', 'costnya', 'lebih', 'besar', 'bolak', 'balik', 'darat', 'beliau', 'dapat', 'mending', 'darat', 'deket', 'laut']",positive
Tue Sep 30 16:39:38 +0000 2025,@dhaintly Kilang atau pengolahan pak? Bukankah selama ini kita ekspor minyak mentah lalu impor bbm ready use?,kilang atau pengolahan pak bukankah selama ini kita ekspor minyak mentah lalu impor bbm ready use,"['kilang', 'pengolahan', 'pak', 'bukankah', 'selama', 'ekspor', 'minyak', 'mentah', 'lalu', 'impor', 'bbm', 'ready', 'use']","['kilang', 'olah', 'pak', 'bukankah', 'lama', 'ekspor', 'minyak', 'mentah', 'lalu', 'impor', 'bbm', 'ready', 'use']",negative
Tue Sep 30 16:38:21 +0000 2025,@dhaintly Kilang minyak and peti frozen buat nelayan tuh bangun,kilang minyak and peti frozen buat nelayan tuh bangun,"['kilang', 'minyak', 'and', 'peti', 'frozen', 'buat', 'nelayan', 'bangun']","['kilang', 'minyak', 'and', 'peti', 'frozen', 'buat', 'nelayan', 'bangun']",negative
Tue Sep 30 16:15:15 +0000 2025,Di daerah aku aja kilang minyak swasta yg ada,di daerah aku aja kilang minyak swasta yg ada,"['daerah', 'aku', 'kilang', 'minyak', 'swasta']","['daerah', 'aku', 'kilang', 'minyak', 'swasta']",negative
Tue Sep 30 16:12:43 +0000 2025,SAAAY IT LOOOUDER Kayak?! Kenapa malah nyalahin *trust issue masyarakat krn sempet ada kasus oplos* Berbenah lah. Malas not only soal kilang minyak jg KUALITAS bensinnya. Bilang merugi tp dibalik itu pertahanin project impor. Ya apa kalo bukan lahan basah &amp; dioplos lg,saaay it looouder kayak kenapa malah nyalahin trust issue masyarakat krn sempet ada kasus oplos berbenah lah malas not only soal kilang minyak jg kualitas bensinnya bilang merugi tp dibalik itu pertahanin project impor ya apa kalo bukan lahan basah amp dioplos lg,"['saaay', 'it', 'looouder', 'kayak', 'malah', 'menyalahkan', 'trust', 'issue', 'masyarakat', 'sempat', 'kasus', 'oplos', 'berbenah', 'lah', 'malas', 'not', 'only', 'soal', 'kilang', 'minyak', 'kualitas', 'bensinnya', 'bilang', 'merugi', 'dibalik', 'pertahanin', 'project', 'impor', 'apa', 'kalau', 'bukan', 'lahan', 'basah', 'amp', 'dioplos']","['saaay', 'it', 'looouder', 'kayak', 'malah', 'salah', 'trust', 'issue', 'masyarakat', 'sempat', 'kasus', 'oplos', 'benah', 'lah', 'malas', 'not', 'only', 'soal', 'kilang', 'minyak', 'kualitas', 'bensin', 'bilang', 'rugi', 'balik', 'pertahanin', 'project', 'impor', 'apa', 'kalau', 'bukan', 'lahan', 'basah', 'amp', 'oplos']",negative
Tue Sep 30 16:10:54 +0000 2025,@tanyarlfes dua ini terlalu berat di oily skin. ak pernah pake dua itu. bikin kilang minyak. tp temenku yg dry skin oke2 aja. sbnrnya bisa aja cocok tp emg finishnya begitu ato emg ga cocok akibatnya gitu. kl kulitmu gk bermasalah entah jerawat dsb kemungkinan cocok,dua ini terlalu berat di oily skin ak pernah pake dua itu bikin kilang minyak tp temenku yg dry skin oke aja sbnrnya bisa aja cocok tp emg finishnya begitu ato emg ga cocok akibatnya gitu kl kulitmu gk bermasalah entah jerawat dsb kemungkinan cocok,"['terlalu', 'berat', 'oily', 'skin', 'aku', 'pernah', 'pakai', 'bikin', 'kilang', 'minyak', 'temanku', 'dry', 'skin', 'oke', 'sebenarnya', 'cocok', 'emg', 'finishnya', 'emg', 'cocok', 'akibatnya', 'kalau', 'kulitmu', 'bermasalah', 'entah', 'jerawat', 'kemungkinan', 'cocok']","['terlalu', 'berat', 'oily', 'skin', 'aku', 'pernah', 'pakai', 'bikin', 'kilang', 'minyak', 'teman', 'dry', 'skin', 'oke', 'benar', 'cocok', 'emg', 'finishnya', 'emg', 'cocok', 'akibat', 'kalau', 'kulit', 'masalah', 'entah', 'jerawat', 'mungkin', 'cocok']",negative
Tue Sep 30 15:39:59 +0000 2025,@dhaintly nanti jg melemah dan tdk menggebu lagi bikin kilang klo mulai menyentuh mafia minyak yg sdh menggurita sejak jaman ibnu sutowo dan bingung mulai darimana,nanti jg melemah dan tdk menggebu lagi bikin kilang klo mulai menyentuh mafia minyak yg sdh menggurita sejak jaman ibnu sutowo dan bingung mulai darimana,"['melemah', 'menggebu', 'bikin', 'kilang', 'kalau', 'mulai', 'menyentuh', 'mafia', 'minyak', 'menggurita', 'sejak', 'jaman', 'ibnu', 'sutowo', 'bingung', 'mulai', 'mana']","['lemah', 'gebu', 'bikin', 'kilang', 'kalau', 'mulai', 'sentuh', 'mafia', 'minyak', 'gurita', 'sejak', 'jaman', 'ibnu', 'sutowo', 'bingung', 'mulai', 'mana']",negative
Tue Sep 30 15:33:53 +0000 2025,@asyam_lambunk @azzurrazzz @dhaintly Tapi pertamina kan ada wacana mau bikin 7 kilang minyak tapi emg ga selesai2 malah ada yg dibakar makanya dibilang males,tapi pertamina kan ada wacana mau bikin kilang minyak tapi emg ga selesai malah ada yg dibakar makanya dibilang males,"['pertamina', 'kan', 'wacana', 'mau', 'bikin', 'kilang', 'minyak', 'emg', 'selesai', 'malah', 'dibakar', 'dibilang', 'malas']","['pertamina', 'kan', 'wacana', 'mau', 'bikin', 'kilang', 'minyak', 'emg', 'selesai', 'malah', 'bakar', 'bilang', 'malas']",negative
Tue Sep 30 15:26:57 +0000 2025,Nih ... ketahuan BUMN perta=mini gak mau bangun kilang minyak.,nih ketahuan bumn pertamini gak mau bangun kilang minyak,"['nih', 'ketahuan', 'bumn', 'pertamini', 'mau', 'bangun', 'kilang', 'minyak']","['nih', 'tahu', 'bumn', 'pertamini', 'mau', 'bangun', 'kilang', 'minyak']",positive
Tue Sep 30 15:26:09 +0000 2025,Benerrrr Bener banget..!!! Untuk negara sebesar Indonesia minim kilang minyak aneh aja.. Padahal negeri ini punya banyak sumber minyak. Pemalas..!!!,benerrrr bener banget untuk negara sebesar indonesia minim kilang minyak aneh aja padahal negeri ini punya banyak sumber minyak pemalas,"['benerrrr', 'benar', 'sekali', 'negara', 'sebesar', 'indonesia', 'minim', 'kilang', 'minyak', 'aneh', 'padahal', 'negeri', 'punya', 'banyak', 'sumber', 'minyak', 'pemalas']","['benerrrr', 'benar', 'sekali', 'negara', 'besar', 'indonesia', 'minim', 'kilang', 'minyak', 'aneh', 'padahal', 'negeri', 'punya', 'banyak', 'sumber', 'minyak', 'malas']",positive
Tue Sep 30 15:15:58 +0000 2025,@Schultzz07 @dhaintly Coba cari aja data produksi minyak mentah indonesia data kapasitas kilang sama data konsumsi bbm di indonesia,coba cari aja data produksi minyak mentah indonesia data kapasitas kilang sama data konsumsi bbm di indonesia,"['coba', 'cari', 'data', 'produksi', 'minyak', 'mentah', 'indonesia', 'data', 'kapasitas', 'kilang', 'sama', 'data', 'konsumsi', 'bbm', 'indonesia']","['coba', 'cari', 'data', 'produksi', 'minyak', 'mentah', 'indonesia', 'data', 'kapasitas', 'kilang', 'sama', 'data', 'konsumsi', 'bbm', 'indonesia']",negative
Tue Sep 30 15:15:28 +0000 2025,Hari-hari ini mulai dibuka. Namun apakah hal ini akan menggerakkan perusahaan terkait membangun dan mengoperasikan kilang minyak demi memenuhi kebutuhan BBM dalam negeri. Sangat bergantung kepada political will yang sangat kuat dari presiden RI.,harihari ini mulai dibuka namun apakah hal ini akan menggerakkan perusahaan terkait membangun dan mengoperasikan kilang minyak demi memenuhi kebutuhan bbm dalam negeri sangat bergantung kepada political will yang sangat kuat dari presiden ri,"['harihari', 'mulai', 'dibuka', 'ini', 'menggerakkan', 'perusahaan', 'terkait', 'membangun', 'mengoperasikan', 'kilang', 'minyak', 'memenuhi', 'kebutuhan', 'bbm', 'negeri', 'sangat', 'bergantung', 'political', 'will', 'sangat', 'kuat', 'presiden', 'ri']","['harihari', 'mulai', 'buka', 'ini', 'gerak', 'usaha', 'kait', 'bangun', 'operasi', 'kilang', 'minyak', 'penuh', 'butuh', 'bbm', 'negeri', 'sangat', 'gantung', 'political', 'will', 'sangat', 'kuat', 'presiden', 'ri']",positive
Tue Sep 30 15:05:39 +0000 2025,@dhaintly @IbnulHadi15 Kalau kita bikin kilang bandit mafia minyak jadi pengangguran.,kalau kita bikin kilang bandit mafia minyak jadi pengangguran,"['kalau', 'bikin', 'kilang', 'bandit', 'mafia', 'minyak', 'jadi', 'pengangguran']","['kalau', 'bikin', 'kilang', 'bandit', 'mafia', 'minyak', 'jadi', 'anggur']",negative
Tue Sep 30 15:04:29 +0000 2025,@dhaintly bangun kilang minyak itu modal besar dengan ROI yang sangat panjang mana mau pejabat2 kontol itu investasi demi masa depan. mending juga impor dapet uang lipet karna masa jabatannya cuma sebentar. solusi cepatnya kasih insentif lebih buat molis. pake tuh batubara buat listrik.,bangun kilang minyak itu modal besar dengan roi yang sangat panjang mana mau pejabat kontol itu investasi demi masa depan mending juga impor dapet uang lipet karna masa jabatannya cuma sebentar solusi cepatnya kasih insentif lebih buat molis pake tuh batubara buat listrik,"['bangun', 'kilang', 'minyak', 'modal', 'besar', 'roi', 'sangat', 'panjang', 'mana', 'mau', 'pejabat', 'kontol', 'investasi', 'masa', 'depan', 'mending', 'impor', 'dapet', 'uang', 'lipet', 'masa', 'jabatannya', 'cuma', 'sebentar', 'solusi', 'cepatnya', 'kasih', 'insentif', 'lebih', 'buat', 'molis', 'pakai', 'batubara', 'buat', 'listrik']","['bangun', 'kilang', 'minyak', 'modal', 'besar', 'roi', 'sangat', 'panjang', 'mana', 'mau', 'jabat', 'kontol', 'investasi', 'masa', 'depan', 'mending', 'impor', 'dapet', 'uang', 'lipet', 'masa', 'jabat', 'cuma', 'sebentar', 'solusi', 'cepat', 'kasih', 'insentif', 'lebih', 'buat', 'mol', 'pakai', 'batubara', 'buat', 'listrik']",positive
Tue Sep 30 14:46:07 +0000 2025,@0Jackls0 @dhaintly Ya pernyataan itu benar. Menkeu Purbaya Yudhi Sadewa menyampaikannya dalam rapat dengan DPR RI pada 30 Sep 2025 mengkritik Pertamina karena lambat bangun kilang baru meski mampu sehingga RI terus impor minyak dari Singapura. Dikonfirmasi oleh CNBC Detik dan Tribunnews. Belum,ya pernyataan itu benar menkeu purbaya yudhi sadewa menyampaikannya dalam rapat dengan dpr ri pada sep mengkritik pertamina karena lambat bangun kilang baru meski mampu sehingga ri terus impor minyak dari singapura dikonfirmasi oleh cnbc detik dan tribunnews belum,"['pernyataan', 'benar', 'menkeu', 'purbaya', 'yudhi', 'sadewa', 'menyampaikannya', 'rapat', 'dpr', 'ri', 'sep', 'mengkritik', 'pertamina', 'lambat', 'bangun', 'kilang', 'baru', 'meski', 'mampu', 'ri', 'terus', 'impor', 'minyak', 'singapura', 'dikonfirmasi', 'cnbc', 'detik', 'tribunnews']","['nyata', 'benar', 'menkeu', 'purbaya', 'yudhi', 'sadewa', 'sampai', 'rapat', 'dpr', 'ri', 'sep', 'kritik', 'pertamina', 'lambat', 'bangun', 'kilang', 'baru', 'meski', 'mampu', 'ri', 'terus', 'impor', 'minyak', 'singapura', 'konfirmasi', 'cnbc', 'detik', 'tribunnews']",positive
Tue Sep 30 14:36:03 +0000 2025,4. Bangun kilang baru atau upgrade kilang existing? tidak semudah itu! dari mana duitnya? 5. Misalnya kita minta investor LN buat bangun kilang di Indonesia. Harus ada timbal baliknya dong? Biasanya mereka minta kontrak jangka panjang untuk Indonesia beli minyak dari mereka,bangun kilang baru atau upgrade kilang existing tidak semudah itu dari mana duitnya misalnya kita minta investor ln buat bangun kilang di indonesia harus ada timbal baliknya dong biasanya mereka minta kontrak jangka panjang untuk indonesia beli minyak dari mereka,"['bangun', 'kilang', 'baru', 'upgrade', 'kilang', 'existing', 'semudah', 'mana', 'duitnya', 'misalnya', 'minta', 'investor', 'ln', 'buat', 'bangun', 'kilang', 'indonesia', 'timbal', 'baliknya', 'dong', 'biasanya', 'minta', 'kontrak', 'jangka', 'panjang', 'indonesia', 'beli', 'minyak', 'mereka']","['bangun', 'kilang', 'baru', 'upgrade', 'kilang', 'existing', 'mudah', 'mana', 'duit', 'misal', 'minta', 'investor', 'ln', 'buat', 'bangun', 'kilang', 'indonesia', 'timbal', 'balik', 'dong', 'biasa', 'minta', 'kontrak', 'jangka', 'panjang', 'indonesia', 'beli', 'minyak', 'mereka']",positive
Tue Sep 30 14:34:30 +0000 2025,Kurangi Impor Pertamina Disarankan Bangun Kilang Minyak https://t.co/STDRQKiaI1 https://t.co/phRLYjCstM,kurangi impor pertamina disarankan bangun kilang minyak,"['mengurangi', 'impor', 'pertamina', 'disarankan', 'bangun', 'kilang', 'minyak']","['kurang', 'impor', 'pertamina', 'saran', 'bangun', 'kilang', 'minyak']",negative
Tue Sep 30 14:21:18 +0000 2025,@kerjadarirumahq @FProperty90473 @profesor_saham Pertamina emang lagi bangun kilang baru seperti Balikpapan (target restart Q3 2025) &amp; green refinery buat SAF tapi masih ada delay &amp; insiden kebakaran kayak di Cilacap Feb 2025. Impor bensin tinggi karna produksi minyak mentah over tapi refining capacity kurang plus subsidi,pertamina emang lagi bangun kilang baru seperti balikpapan target restart q amp green refinery buat saf tapi masih ada delay amp insiden kebakaran kayak di cilacap feb impor bensin tinggi karna produksi minyak mentah over tapi refining capacity kurang plus subsidi,"['pertamina', 'emang', 'bangun', 'kilang', 'baru', 'balikpapan', 'target', 'restart', 'aku', 'amp', 'green', 'refinery', 'buat', 'saf', 'delay', 'amp', 'insiden', 'kebakaran', 'kayak', 'cilacap', 'feb', 'impor', 'bensin', 'tinggi', 'produksi', 'minyak', 'mentah', 'over', 'refining', 'capacity', 'kurang', 'plus', 'subsidi']","['pertamina', 'emang', 'bangun', 'kilang', 'baru', 'balikpapan', 'target', 'restart', 'aku', 'amp', 'green', 'refinery', 'buat', 'saf', 'delay', 'amp', 'insiden', 'bakar', 'kayak', 'cilacap', 'feb', 'impor', 'bensin', 'tinggi', 'produksi', 'minyak', 'mentah', 'over', 'refining', 'capacity', 'kurang', 'plus', 'subsidi']",negative
Tue Sep 30 14:18:25 +0000 2025,@dhaintly Setau gua ya: 1. Konsumsi BBM di indonesia sangat tinggi mengandalkan kilang pun kapasitasnya tidak bakal mencukupi. 2. Produksi minyak mentah indonesia masih lebih rendah dari kapasitas kilang di indonesia. Jadi produksi minyak mentah &lt; kapasitas kilang &lt; konsumsi BBM nasional,setau gua ya konsumsi bbm di indonesia sangat tinggi mengandalkan kilang pun kapasitasnya tidak bakal mencukupi produksi minyak mentah indonesia masih lebih rendah dari kapasitas kilang di indonesia jadi produksi minyak mentah lt kapasitas kilang lt konsumsi bbm nasional,"['setau', 'gua', 'konsumsi', 'bbm', 'indonesia', 'sangat', 'tinggi', 'mengandalkan', 'kilang', 'kapasitasnya', 'bakal', 'mencukupi', 'produksi', 'minyak', 'mentah', 'indonesia', 'lebih', 'rendah', 'kapasitas', 'kilang', 'indonesia', 'jadi', 'produksi', 'minyak', 'mentah', 'lantai', 'kapasitas', 'kilang', 'lantai', 'konsumsi', 'bbm', 'nasional']","['tau', 'gua', 'konsumsi', 'bbm', 'indonesia', 'sangat', 'tinggi', 'andal', 'kilang', 'kapasitas', 'bakal', 'cukup', 'produksi', 'minyak', 'mentah', 'indonesia', 'lebih', 'rendah', 'kapasitas', 'kilang', 'indonesia', 'jadi', 'produksi', 'minyak', 'mentah', 'lantai', 'kapasitas', 'kilang', 'lantai', 'konsumsi', 'bbm', 'nasional']",negative
Tue Sep 30 14:16:05 +0000 2025,@dhaintly melihat persoalan yang kongkrit itu ketika mengalaminya sendiri. andai pertamina bisa mengupayakan bikin kilang apakah memungkinkan pertamina melakukan eksplorasi dan eksploitasi minyak mandiri.. sementara produksi minyak mentah kita jatuh tinggal 500rb barel sehari,melihat persoalan yang kongkrit itu ketika mengalaminya sendiri andai pertamina bisa mengupayakan bikin kilang apakah memungkinkan pertamina melakukan eksplorasi dan eksploitasi minyak mandiri sementara produksi minyak mentah kita jatuh tinggal rb barel sehari,"['melihat', 'persoalan', 'kongkrit', 'mengalaminya', 'sendiri', 'andai', 'pertamina', 'mengupayakan', 'bikin', 'kilang', 'memungkinkan', 'pertamina', 'melakukan', 'eksplorasi', 'eksploitasi', 'minyak', 'mandiri', 'produksi', 'minyak', 'mentah', 'jatuh', 'tinggal', 'rb', 'barel', 'sehari']","['lihat', 'soal', 'kongkrit', 'alam', 'sendiri', 'andai', 'pertamina', 'upaya', 'bikin', 'kilang', 'mungkin', 'pertamina', 'laku', 'eksplorasi', 'eksploitasi', 'minyak', 'mandiri', 'produksi', 'minyak', 'mentah', 'jatuh', 'tinggal', 'rb', 'barel', 'hari']",positive
Tue Sep 30 14:14:38 +0000 2025,Sentil Pertamina Purbaya Geram Impor BBM Naik Tajam: 27 Tahun Tak Bangun Kilang Baru! https://t.co/CAyPDjfceC #BBM #Pertamina #Purbaya #impor #kilang #minyak #BITVONLINE,sentil pertamina purbaya geram impor bbm naik tajam tahun tak bangun kilang baru,"['sentil', 'pertamina', 'purbaya', 'geram', 'impor', 'bbm', 'naik', 'tajam', 'tahun', 'tak', 'bangun', 'kilang', 'baru']","['sentil', 'pertamina', 'purbaya', 'geram', 'impor', 'bbm', 'naik', 'tajam', 'tahun', 'tak', 'bangun', 'kilang', 'baru']",positive
